county_name,age_group,sex,population
Ramsey,70-74,male,281
Ransom,70-74,male,157
Renville,70-74,male,75
Richland,70-74,male,384
Rolette,70-74,male,223
Sargent,70-74,male,114
Sheridan,70-74,male,49
Sioux,70-74,male,45
Slope,70-74,male,32
Stark,70-74,male,478
Steele,70-74,male,56
Stutsman,70-74,male,509
Towner,70-74,male,51
Traill,70-74,male,187
Walsh,70-74,male,296
Ward,70-74,male,1027
Wells,70-74,male,117
Williams,70-74,male,428
Adams,75-79,male,56
Barnes,75-79,male,229
Benson,75-79,male,76
Billings,75-79,male,15
Bottineau,75-79,male,145
Bowman,75-79,male,76
Burke,75-79,male,41
Burleigh,75-79,male,1284
Cass,75-79,male,1602
Cavalier,75-79,male,81
Dickey,75-79,male,97
Divide,75-79,male,39
Dunn,75-79,male,41
Eddy,75-79,male,47
Emmons,75-79,male,69
Foster,75-79,male,50
Golden Valley,75-79,male,29
Grand Forks,75-79,male,712
Grant,75-79,male,72
Griggs,75-79,male,63
Hettinger,75-79,male,56
Kidder,75-79,male,55
LaMoure,75-79,male,79
Logan,75-79,male,44
McHenry,75-79,male,113
McIntosh,75-79,male,56
McKenzie,75-79,male,95
McLean,75-79,male,243
Mercer,75-79,male,149
Morton,75-79,male,449
Mountrail,75-79,male,112
Nelson,75-79,male,79
Oliver,75-79,male,29
Pembina,75-79,male,151
Pierce,75-79,male,72
Ramsey,75-79,male,211
Ransom,75-79,male,101
Renville,75-79,male,35
Richland,75-79,male,253
Rolette,75-79,male,136
Sargent,75-79,male,73
Sheridan,75-79,male,29
Sioux,75-79,male,36
Slope,75-79,male,10
Stark,75-79,male,321
Steele,75-79,male,53
Stutsman,75-79,male,282
Towner,75-79,male,41
Traill,75-79,male,115
Walsh,75-79,male,203
Ward,75-79,male,689
Wells,75-79,male,106
Williams,75-79,male,248
Adams,80-84,male,37
Barnes,80-84,male,138
Benson,80-84,male,47
Billings,80-84,male,19
Bottineau,80-84,male,76
Bowman,80-84,male,29
Burke,80-84,male,21
Burleigh,80-84,male,771
Cass,80-84,male,1013
Cavalier,80-84,male,55
Dickey,80-84,male,63
Divide,80-84,male,39
Dunn,80-84,male,52
Eddy,80-84,male,30
Emmons,80-84,male,62
Foster,80-84,male,49
Golden Valley,80-84,male,32
Grand Forks,80-84,male,423
Grant,80-84,male,51
Griggs,80-84,male,36
Hettinger,80-84,male,38
Kidder,80-84,male,44
LaMoure,80-84,male,68
Logan,80-84,male,35
McHenry,80-84,male,64
McIntosh,80-84,male,52
McKenzie,80-84,male,59
McLean,80-84,male,109
Mercer,80-84,male,86
Morton,80-84,male,281
Mountrail,80-84,male,47
Nelson,80-84,male,50
Oliver,80-84,male,20
Pembina,80-84,male,85
Pierce,80-84,male,59
Ramsey,80-84,male,120
Ransom,80-84,male,59
Renville,80-84,male,26
Richland,80-84,male,140
Rolette,80-84,male,94
Sargent,80-84,male,47
Sheridan,80-84,male,19
Sioux,80-84,male,18
Slope,80-84,male,6
Stark,80-84,male,254
Steele,80-84,male,37
Stutsman,80-84,male,213
Towner,80-84,male,35
Traill,80-84,male,100
Walsh,80-84,male,135
Ward,80-84,male,489
Wells,80-84,male,94
Williams,80-84,male,162
Adams,85+,male,32
Barnes,85+,male,129
Benson,85+,male,43
Billings,85+,male,5
Bottineau,85+,male,60
Bowman,85+,male,52
Burke,85+,male,15
Burleigh,85+,male,834
Cass,85+,male,1049
Cavalier,85+,male,58
Dickey,85+,male,60
Divide,85+,male,24
Dunn,85+,male,32
Eddy,85+,male,28
Emmons,85+,male,65
Foster,85+,male,48
Golden Valley,85+,male,5
Grand Forks,85+,male,416
Grant,85+,male,51
Griggs,85+,male,36
Hettinger,85+,male,31
Kidder,85+,male,31
LaMoure,85+,male,78
Logan,85+,male,57
McHenry,85+,male,60
McIntosh,85+,male,70
McKenzie,85+,male,52
McLean,85+,male,138
Mercer,85+,male,70
Morton,85+,male,282
Mountrail,85+,male,66
Nelson,85+,male,77
Oliver,85+,male,13
Pembina,85+,male,86
Pierce,85+,male,69
Ramsey,85+,male,145
Ransom,85+,male,82
Renville,85+,male,23
Richland,85+,male,151
Rolette,85+,male,69
Sargent,85+,male,35
Sheridan,85+,male,22
Sioux,85+,male,12
Slope,85+,male,1
Stark,85+,male,243
Steele,85+,male,10
Stutsman,85+,male,234
Towner,85+,male,34
Traill,85+,male,79
Walsh,85+,male,110
Ward,85+,male,476
Wells,85+,male,52
Williams,85+,male,140
Adams,0-4,female,66
Barnes,0-4,female,291
Benson,0-4,female,279
Billings,0-4,female,40
Bottineau,0-4,female,179
Bowman,0-4,female,80
Burke,0-4,female,60
Burleigh,0-4,female,3031
Cass,0-4,female,6021
