fips,age_group,sex,race,proportion
38003,65-69,male,white_nonhispanic,0.03667345804778663
38003,65-69,female,white_nonhispanic,0.034543433969253565
38003,65-69,male,black_nonhispanic,0.00018521948508983145
38003,65-69,female,black_nonhispanic,0.0003704389701796629
38003,65-69,male,aian_nonhispanic,0.0003704389701796629
38003,65-69,female,aian_nonhispanic,9.260974254491573e-05
38003,65-69,male,asian_nonhispanic,0.00027782922763474715
38003,65-69,female,asian_nonhispanic,0.0
38003,65-69,male,multiracial_nonhispanic,0.00018521948508983145
38003,65-69,female,multiracial_nonhispanic,0.0003704389701796629
38003,65-69,male,hispanic,0.00018521948508983145
38003,65-69,female,hispanic,0.0
38003,70-74,male,white_nonhispanic,0.031024263752546768
38003,70-74,female,white_nonhispanic,0.02796814224856455
38003,70-74,male,black_nonhispanic,0.0004630487127245786
38003,70-74,female,black_nonhispanic,0.0
38003,70-74,male,aian_nonhispanic,0.00018521948508983145
38003,70-74,female,aian_nonhispanic,0.0004630487127245786
38003,70-74,male,asian_nonhispanic,0.00018521948508983145
38003,70-74,female,asian_nonhispanic,9.260974254491573e-05
38003,70-74,male,multiracial_nonhispanic,0.0003704389701796629
38003,70-74,female,multiracial_nonhispanic,0.0006482681978144101
38003,70-74,male,hispanic,0.00027782922763474715
38003,70-74,female,hispanic,0.00027782922763474715
38003,75-79,male,white_nonhispanic,0.02407853306167809
38003,75-79,female,white_nonhispanic,0.024356362289312837
38003,75-79,male,black_nonhispanic,0.0
38003,75-79,female,black_nonhispanic,0.0
38003,75-79,male,aian_nonhispanic,9.260974254491573e-05
38003,75-79,female,aian_nonhispanic,9.260974254491573e-05
38003,75-79,male,asian_nonhispanic,0.0
38003,75-79,female,asian_nonhispanic,0.00018521948508983145
38003,75-79,male,multiracial_nonhispanic,0.00018521948508983145
38003,75-79,female,multiracial_nonhispanic,9.260974254491573e-05
38003,75-79,male,hispanic,0.00027782922763474715
38003,75-79,female,hispanic,0.0
38003,80-84,male,white_nonhispanic,0.012594924986108539
38003,80-84,female,white_nonhispanic,0.012224486015928876
38003,80-84,male,black_nonhispanic,0.0
38003,80-84,female,black_nonhispanic,0.0
38003,80-84,male,aian_nonhispanic,0.0
38003,80-84,female,aian_nonhispanic,0.0004630487127245786
38003,80-84,male,asian_nonhispanic,0.00018521948508983145
38003,80-84,female,asian_nonhispanic,9.260974254491573e-05
38003,80-84,male,multiracial_nonhispanic,9.260974254491573e-05
38003,80-84,female,multiracial_nonhispanic,9.260974254491573e-05
38003,80-84,male,hispanic,0.0
38003,80-84,female,hispanic,0.0
38003,85+,male,white_nonhispanic,0.00907575476940174
38003,85+,female,white_nonhispanic,0.021300240785330618
38003,85+,male,black_nonhispanic,0.0
38003,85+,female,black_nonhispanic,0.00018521948508983145
38003,85+,male,aian_nonhispanic,0.0
38003,85+,female,aian_nonhispanic,9.260974254491573e-05
38003,85+,male,asian_nonhispanic,0.0
38003,85+,female,asian_nonhispanic,9.260974254491573e-05
38003,85+,male,multiracial_nonhispanic,0.0
38003,85+,female,multiracial_nonhispanic,0.00027782922763474715
38003,85+,male,hispanic,0.0
38003,85+,female,hispanic,0.0003704389701796629
38005,0-4,male,white_nonhispanic,0.013724808895066018
38005,0-4,female,white_nonhispanic,0.014940931202223767
38005,0-4,male,black_nonhispanic,0.0
38005,0-4,female,black_nonhispanic,0.00034746351633078526
38005,0-4,male,aian_nonhispanic,0.02310632383599722
38005,0-4,female,aian_nonhispanic,0.025364836692147324
38005,0-4,male,asian_nonhispanic,0.00034746351633078526
38005,0-4,female,asian_nonhispanic,0.0
38005,0-4,male,multiracial_nonhispanic,0.002258512856150104
38005,0-4,female,multiracial_nonhispanic,0.001389854065323141
38005,0-4,male,hispanic,0.005038220986796386
38005,0-4,female,hispanic,0.0034746351633078527
38005,5-9,male,white_nonhispanic,0.013377345378735233
38005,5-9,female,white_nonhispanic,0.0118137595552467
38005,5-9,male,black_nonhispanic,0.00034746351633078526
38005,5-9,female,black_nonhispanic,0.00017373175816539263
38005,5-9,male,aian_nonhispanic,0.03109798471160528
38005,5-9,female,aian_nonhispanic,0.028144544822793608
38005,5-9,male,asian_nonhispanic,0.0008686587908269632
38005,5-9,female,asian_nonhispanic,0.0
38005,5-9,male,multiracial_nonhispanic,0.001389854065323141
38005,5-9,female,multiracial_nonhispanic,0.0017373175816539264
38005,5-9,male,hispanic,0.0031271716469770676
38005,5-9,female,hispanic,0.003822098679638638
38005,10-14,male,white_nonhispanic,0.010771369006254344
38005,10-14,female,white_nonhispanic,0.00990271021542738
38005,10-14,male,black_nonhispanic,0.00034746351633078526
38005,10-14,female,black_nonhispanic,0.0005211952744961779
38005,10-14,male,aian_nonhispanic,0.02970813064628214
38005,10-14,female,aian_nonhispanic,0.028144544822793608
38005,10-14,male,asian_nonhispanic,0.0
38005,10-14,female,asian_nonhispanic,0.0006949270326615705
38005,10-14,male,multiracial_nonhispanic,0.0006949270326615705
38005,10-14,female,multiracial_nonhispanic,0.0005211952744961779
38005,10-14,male,hispanic,0.0031271716469770676
38005,10-14,female,hispanic,0.001911049339819319
38005,15-19,male,white_nonhispanic,0.01059763724808895
38005,15-19,female,white_nonhispanic,0.009034051424600417
38005,15-19,male,black_nonhispanic,0.0006949270326615705
38005,15-19,female,black_nonhispanic,0.00034746351633078526
38005,15-19,male,aian_nonhispanic,0.03127171646977067
38005,15-19,female,aian_nonhispanic,0.03214037526059764
38005,15-19,male,asian_nonhispanic,0.0
38005,15-19,female,asian_nonhispanic,0.0
38005,15-19,male,multiracial_nonhispanic,0.0008686587908269632
38005,15-19,female,multiracial_nonhispanic,0.0015635858234885338
38005,15-19,male,hispanic,0.00017373175816539263
38005,15-19,female,hispanic,0.00017373175816539263
38005,20-24,male,white_nonhispanic,0.011466296038915913
38005,20-24,female,white_nonhispanic,0.006254343293954135
38005,20-24,male,black_nonhispanic,0.0
38005,20-24,female,black_nonhispanic,0.0005211952744961779
38005,20-24,male,aian_nonhispanic,0.022585128561501043
38005,20-24,female,aian_nonhispanic,0.020326615705350937
38005,20-24,male,asian_nonhispanic,0.0
38005,20-24,female,asian_nonhispanic,0.0
38005,20-24,male,multiracial_nonhispanic,0.0010423905489923557
38005,20-24,female,multiracial_nonhispanic,0.0006949270326615705
38005,20-24,male,hispanic,0.00034746351633078526
38005,20-24,female,hispanic,0.00034746351633078526
38005,25-29,male,white_nonhispanic,0.009728978457261988
38005,25-29,female,white_nonhispanic,0.010076441973592773
38005,25-29,male,black_nonhispanic,0.0006949270326615705
38005,25-29,female,black_nonhispanic,0.00017373175816539263
38005,25-29,male,aian_nonhispanic,0.012334954829742877
38005,25-29,female,aian_nonhispanic,0.013551077136900626
38005,25-29,male,asian_nonhispanic,0.006949270326615705
38005,25-29,female,asian_nonhispanic,0.00034746351633078526
38005,25-29,male,multiracial_nonhispanic,0.0015635858234885338
38005,25-29,female,multiracial_nonhispanic,0.0005211952744961779
38005,25-29,male,hispanic,0.0005211952744961779
